feature,shap_mean_abs
lag_1h,4782.006
hour_cos,480.27338
lag_24h,261.41547
hour,239.28528
lag_2h,175.75104
hour_sin,152.8154
lag_168h,140.4442
lag_3h,85.20773
dayofweek,73.595795
doy_cos,64.977806
lag_12h,64.61808
roll_min_24h,52.049202
roll_max_24h,38.927364
lag_6h,37.808437
roll_mean_24h,36.697056
dow_cos,23.116856
dayofyear,22.650524
year,22.385027
roll_std_24h,21.9837
roll_mean_168h,16.877968
doy_sin,11.716235
month_cos,11.169103
lag_72h,10.049056
is_weekend,8.920051
dow_sin,8.699343
lag_48h,4.8657417
month,4.369768
month_sin,4.207166
quarter,0.2733244
